mmsi,shiptype,valid_from,valid_to,shipname,geartype,flag,callsign,imo,tonnage,length,national_id,rfmo_id,rank_name,notes,clav_VRMFID,clav_DateUpdated,clav_TUVI,clav_FlagCode,clav_ParentVesselTypeCode,clav_ParentVesselType,clav_VesselTypeCode,clav_GearTypeCode,clav_LengthTypeCode,clav_TonnageTypeCode,clav_PreviousName,clav_PreviousNameDate,clav_PreviousFlagCode,clav_PreviousFlagCodeDate,clav_AutStatus,clav_DateAutStart,clav_DateAutEnd,clav_DateAutTerm,clav_AutTermCode,clav_AutTermDescription,clav_AutTermReason,clav_URLID
247121820,Purse seiners,7/19/2014 17:56:02,12/30/2015 8:48:36,EOLO,Purse seines,Italy,IZJI,,76,20.3,ITA000025571,ATEU0ITA08434,ICCAT,,11255,12/16/2014 10:45:51,20089,ITA,SO,Seiners,SP,PS,LOA,GT,,,,,Expired,12/31/2009 15:00:00,12/30/2014 15:00:00,,,,,18724
255804340,Tuna purse seiners,3/28/2012 16:04:01,12/5/2015 7:54:57,MONALINDA-39,Gear not known or not specified,Philippines,DYNZ,,96.92,31.3,MNLD000096,1085,WCPFC,,19943,5/31/2014 19:33:23,794,PHL,SO,Seiners,SPT,UNK,UNK,GRT,CHOKYU MARU NO. 22,2/15/2011 8:00:00,JPN,2/14/2011 15:00:00,Authorized,,,,,,,
367547080,Trollers,11/11/2013 15:53:19,5/10/2015 6:20:47,MISS PAT,Trolling lines,United States of America,WDB6822,,19,13.77,567252,11061,IATTC,,2031,2/21/2011 3:00:00,1842,USA,LO,Liners,LT,LTL,LOA,GRT,SILVER BELLE,2/20/2011 3:00:00,,,Authorized,,,,,,,
416001521,Tuna longliners,12/6/2012 6:55:10,12/24/2015 10:19:08,SHUENN FWU YU NO.36,Longlines (not specified),"Taiwan, Republic of China",BJ3560,,54.16,23.23,CT4-1560,3306,WCPFC,,22067,8/18/2015 2:05:08,13821,TWN,LO,Liners,LLT,LL,LOA,GT,,,,,Authorized,1/22/2013 8:00:00,1/21/2018 8:00:00,,,,,
228242800,Trawlers,1/2/2012 13:57:56,12/31/2015 23:52:48,CHARLES GILBERTE II,Bottom trawls,France,FMJN,9095682,150,24.9,FRA000900283,ATEU0FRA00458,ICCAT,,34078,1/19/2015 6:20:38,28705,FRA,TO,Trawlers,TO,TB,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,17322
224415550,Longliners,10/4/2014 19:37:40,12/19/2015 22:29:43,CHIRINO,Drifting longlines,Spain,,,19,15.36,ESP000009510,IOTC015370,IOTC,,35499,3/30/2015 4:13:07,30126,ESP,LO,Liners,LL,LLD,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,78016
564403000,Bunkers,3/30/2012 17:43:43,4/17/2013 1:15:50,ANGEL NO.6,,Singapore,9VAP8,,25060,168.91,390300,9543,WCPFC,,40953,5/31/2014 20:06:15,35568,SGP,VOX,Non-fishing vessels nei,VOB,,LOA,GRT,,,,,Unauthorized,10/7/2009 15:00:00,12/29/2009 15:00:00,5/31/2014 20:06:15,2,Expiration of authorization,Explicit CLAV 'DROP' request,
431701010,Longliners,10/7/2014 11:10:06,12/30/2015 23:17:45,Shoshin Maru No. 38,Longlines (not specified),Japan,JMZB,,439,49.32,AM1-636,5513,IATTC,,5041,8/29/2014 14:13:00,1150,JPN,LO,Liners,LL,LL,LOA,GT,SHOSHIN MARU NO. 38,2/21/2011 3:00:00,,,Authorized,,,,,,,
224267000,Longliners,3/2/2012 22:59:40,12/31/2015 19:59:43,XIADAS DOUS,Handline and pole-lines (hand operated),Spain,ECFH,9329203,331,32.85,ESP000025982,ATEU0ESP00476,ICCAT,,9908,4/14/2015 8:10:00,1343,ESP,LO,Liners,LL,LHP,LOA,GT,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,269
416000154,Tuna longliners,8/4/2012 5:16:22,12/31/2015 9:13:38,SHUI HO CHENG,Drifting longlines,"Taiwan, Republic of China",BJ4685,,96.12,28.2,CT4-2685,3565,WCPFC,,22329,8/6/2015 23:37:06,14061,TWN,LO,Liners,LLT,LLD,LOA,GT,,,,,Authorized,4/13/2011 8:00:00,12/30/2016 8:00:00,,,,,
431795000,Pole and Line vessels,1/14/2012 0:10:42,12/20/2015 16:16:23,ASAHI MARU NO.8,Handline and pole-lines (hand operated),Japan,JDPA,,499,56.87,KG1-317,400,WCPFC,,22770,7/30/2014 20:52:45,34,JPN,LO,Liners,LP,LHP,RGL,GRT,,,,,Authorized,7/30/2012 15:00:00,7/29/2017 15:00:00,,,,,
273350850,Tuna longliners,8/19/2012 2:06:55,12/31/2015 22:40:32,MING MAN NO.2,Gear not known or not specified,Vanuatu,YJSC7,,660,58.2,1345,4282,WCPFC,,23029,5/31/2014 21:13:00,776,VUT,LO,Liners,LLT,UNK,LOA,GRT,,,,,Unauthorized,8/27/2011 15:00:00,8/26/2012 15:00:00,5/31/2014 21:13:00,2,Expiration of authorization,Explicit CLAV 'DROP' request,
412420197,Longliners,1/5/2013 6:54:17,12/31/2015 19:41:53,XIN SHI JI 68,Gear not known or not specified,China,BZ1UU,8615007,596,44.29,(ZHE)CHUAN DENG (JI) NO.:(2015) FT-200071,9545,WCPFC,,25352,11/10/2015 3:45:41,1354,CHN,LO,Liners,LL,UNK,RGL,GT,HOYO MARU NO.68,2/15/2011 8:00:00,JPN,2/14/2011 15:00:00,Authorized,5/3/2014 8:00:00,6/29/2017 8:00:00,,,,,
224148620,Non-fishing vessels nei,10/17/2012 5:01:49,12/30/2015 16:05:14,JOFRANMAR,Gear not known or not specified,Spain,EA7120,,86.72,24.5,ESP000026334,ATEU0ESP03749,ICCAT,,33528,5/4/2015 4:47:20,31411,ESP,VOX,Non-fishing vessels nei,VOX,NK,LOA,GT,,,,,Authorized,1/19/2014 18:00:00,1/19/2016 18:00:00,,,,,27362
432461000,Longliners,5/27/2014 19:56:00,12/31/2015 19:30:56,KOKEI MARU No.8,Longlines (not specified),Japan,JJYR,9011442,319,43.44,KN1-750,AT000JPN00276,ICCAT,,7003,7/3/2014 5:48:49,619,JPN,LO,Liners,LL,LL,LOA,GRT,HAKKO MARU No.8,7/2/2013 4:21:37,,,Authorized,7/31/2012 15:00:00,7/30/2017 15:00:00,,,,,3187
440944000,Tuna longliners,1/1/2012 9:12:20,12/30/2015 10:09:14,NO.95 AGNES,Handline and pole-lines (hand operated),"Korea, Republic of",6NGW,,353,44.8,9512297-6260003,AT000KOR00052,ICCAT,,7213,5/16/2012 17:00:00,8,KOR,LO,Liners,LLT,LHP,LOA,GRT,NO. 95 DOO AN,1/12/2007 18:00:00,,,Expired,1/13/2007 18:00:00,1/12/2012 18:00:00,,,,,2999
224052350,Pole and Line vessels,6/5/2012 18:59:18,11/24/2015 1:43:57,ONDARZABAL,Handline and pole-lines (hand operated),Spain,EBXV,8733732,156,31.6,ESP000025216,ATEU0ESP00300,ICCAT,,9768,4/14/2015 8:09:57,8079,ESP,LO,Liners,LP,LHP,LOA,GT,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,1580
235013871,Trawlers,3/8/2013 16:08:21,12/27/2015 13:07:12,DINGENIS JAN,Bottom trawls,United Kingdom,MCVR4,8887260,,31.73,GBR000C17467,ATEU0GBR00112,ICCAT,,10320,1/22/2013 18:00:00,8303,GBR,TO,Trawlers,TO,TB,LOA,,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,504
247146760,Non-fishing vessels nei,3/18/2012 22:09:16,11/29/2015 4:21:18,GHIBLI PRIMO,Bottom trawls,Italy,IKJI,,212,32.96,ITA000007914,ATEU0ITA00256,ICCAT,,10781,3/23/2015 6:24:53,8740,ITA,VOX,Non-fishing vessels nei,VOX,TB,LOA,GT,,,,,Authorized,12/31/2005 18:00:00,12/30/2015 18:00:00,,,,,1055
224156000,Longliners,7/19/2012 7:13:45,12/31/2015 18:07:27,NOVO XEIXAL,Drifting longlines,Spain,EANM,,350,37.6,ESP000023382,IOTC000268,IOTC,,11623,3/30/2015 4:12:47,828,ESP,LO,Liners,LL,LLD,LOA,GT,,,,,Authorized,12/31/2014 15:00:00,12/30/2015 15:00:00,,,,,77916
